channel,v1,chisq,v3,v4,v5,v6,v7,nmass,m1,m2,tb,mu,oh2,v14,v15,si,v17,sv,at,ma,q3,tr
13,41.8481913644,29.6788943296,0.682479028349,238.75294638202,6.9011833959673E-27,6.7119407244092E-07,3.9000000000000026,87.666473199999999,-108.660783242,325.1962686,26.1287492619,114.761267838,9.7492419952658060E-002,3.849E-10,3.174E-10,2.9835595368144E-46,15.644260844621,1.0111934739829472E-026,3.32524158E+03,6.27977669E+02,-2.89328743E+03,-2.87249095E+03
13,41.8472019087,29.4803872466,0.670740343165,64.404474308387,6.8812980786708E-27,6.7412995432213E-07,3.8000000000000025,87.599815199999995,-108.465737006,361.341495887,25.1731683065,114.929618922,0.10051151712447748,1.779E-10,1.2E-10,1.2724974988759E-46,15.682136318263,1.0259257772091487E-026,-1.60723042E+03,5.54294965E+02,1.81278624E+03,2.93156859E+03
13,41.8468244006,29.9506404332,0.698968950377,3111.1796338049,8.5989461881916E-27,6.5842364563155E-07,3.9000000000000026,87.720636499999998,-109.969719075,396.621568471,19.6488127886,112.672232796,8.4042331036196488E-002,1.229E-09,1.164E-09,8.8901923772846E-46,15.510858348929,1.2302329285948384E-026,3.48138521E+03,6.85088066E+02,-2.64780667E+03,-2.91084667E+03
13,41.8417089349,29.4668300178,0.668426337777,3302.3325913254,6.899815422817E-27,6.8766620600412E-07,3.9000000000000026,87.705265199999999,-109.079878103,463.617718208,21.1886315664,114.469559,0.10376605482937545,1.205E-09,1.138E-09,1.0744338050562E-45,15.802093571344,1.0322476887676027E-026,3.67088033E+03,7.12326917E+02,-2.72140943E+03,-2.84799212E+03
13,41.8414635386,29.1712364613,0.65126607354,1956.9811851897,6.9037155540314E-27,7.0594570846225E-07,3.9000000000000026,87.687319700000003,-108.745073699,407.986281479,18.0267659662,114.067244759,9.8278589005565298E-002,6.92E-10,6.197E-10,5.6672376812526E-46,15.985388105773,1.0600453231819373E-026,3.49088964E+03,5.7781002E+02,-2.96048499E+03,-2.98033529E+03
13,41.8390306139,29.9009030687,0.697464271069,156.17641474976,7.5294331495369E-27,6.5544512194529E-07,3.9000000000000026,87.642725700000000,-109.079911776,324.062524807,24.6379020866,114.021275603,8.9782289740679130E-002,2.613E-10,2.007E-10,1.7925586500403E-46,15.491412161159,1.0795439224430159E-026,3.36954013E+03,5.85042517E+02,-2.81533711E+03,-3.14748156E+03
13,41.838842884,29.3037450009,0.65840644493,683.9445848794,7.8774145858019E-27,6.9752971623803E-07,3.9000000000000026,87.720298700000001,-108.866647228,463.968188435,24.7449838143,113.739830913,8.7773181572530098E-002,2.236E-10,2.237E-10,1.7442241091871E-46,15.897606969529,1.1964364332186080E-026,2.55144458E+03,1.11956351E+03,-8.61589089E+02,-1.75015298E+03
13,41.8347036567,29.6726833458,0.682857011202,209.97352123742,7.7798390145822E-27,6.7066624178844E-07,3.9000000000000026,87.646483500000002,-109.48796953,366.833671583,19.1574023482,113.240489096,8.8339882977665748E-002,2.714E-10,2.114E-10,1.8462759097662E-46,15.64166504752,1.1393071883215637E-026,3.994288E+03,5.26504907E+02,-3.07535391E+03,-3.7195555E+03
13,41.8316997659,29.6967101942,0.684692718712,166.54317794115,6.8963681470462E-27,6.6722372402373E-07,3.9000000000000026,87.624231100000003,-109.025590316,478.973120915,21.8013175819,114.642855655,0.10617197700360589,2.996E-10,2.344E-10,2.4555705327395E-46,15.610487120394,1.0072208975756599E-026,3.61246529E+03,5.63596999E+02,-2.72133666E+03,-2.90378515E+03
13,41.8296267854,29.2628254806,0.657484250381,592.88555958689,6.9038264975233E-27,6.9888757268155E-07,3.9000000000000026,87.663695899999993,-109.013605173,344.480710307,26.0420499029,114.323482457,9.5811037326566623E-002,5.607E-10,4.889E-10,4.4087652827238E-46,15.918784016429,1.0500367869683021E-026,3.56852068E+03,6.62434418E+02,-2.64419528E+03,-2.8995337E+03
13,41.82880671,29.823854222,0.692228774283,1895.2867421639,7.4524674172502E-27,6.6448741271227E-07,3.9000000000000026,87.672999000000004,-108.496327084,342.881589584,16.8647408949,113.817797825,9.0282826579024186E-002,6.016E-10,5.344E-10,4.5050669803739E-46,15.577020297996,1.0765902392557109E-026,3.94345885E+03,5.55695229E+02,-3.03785754E+03,-3.71194329E+03
13,41.8270145228,29.1258409014,0.648606142672,2958.0453296126,7.6638649992944E-27,7.0945595566239E-07,3.9000000000000026,87.705409599999996,-108.680146689,382.383089189,29.8554725374,113.775871073,8.9012219610823173E-002,1.338E-09,1.336E-09,1.0572518293122E-45,16.017608190829,1.1815899503699288E-026,2.68254176E+03,1.27652351E+03,-8.92286599E+02,-1.68032188E+03
13,41.8254820549,29.1009901027,0.649212429854,66.751184135757,7.0918348077329E-27,6.9714637535399E-07,3.8000000000000025,87.568901999999994,-108.492322651,375.590846974,16.9298270725,113.647802682,9.2406283382501231E-002,6.336E-11,3.06E-11,3.5037665920211E-47,15.914449567376,1.0923750811930410E-026,3.46286672E+03,4.54077902E+02,-2.97201632E+03,-2.89085793E+03
